Datetime,DOM_MW
2005-05-01 02:00:00,6803.0
2005-05-02 02:00:00,6661.0
2005-05-03 02:00:00,7045.0
2005-05-04 02:00:00,6800.0
2005-05-05 02:00:00,7043.0
2005-05-06 02:00:00,6944.0
2005-05-07 02:00:00,7592.0
2005-05-08 02:00:00,6547.0
2005-05-09 02:00:00,6411.0
2005-05-10 02:00:00,6717.0
2005-05-11 02:00:00,6852.0
2005-05-12 02:00:00,7591.0
2005-05-13 02:00:00,6895.0
2005-05-14 02:00:00,6681.0
2005-05-15 02:00:00,7273.0
2005-05-16 02:00:00,6824.0
2005-05-17 02:00:00,6721.0
2005-05-18 02:00:00,6735.0
2005-05-19 02:00:00,6950.0
2005-05-20 02:00:00,6864.0
2005-05-21 02:00:00,6806.0
2005-05-22 02:00:00,6573.0
2005-05-23 02:00:00,6663.0
2005-05-24 02:00:00,6752.0
2005-05-25 02:00:00,6831.0
2005-05-26 02:00:00,6876.0
2005-05-27 02:00:00,6858.0
2005-05-28 02:00:00,7097.0
2005-05-29 02:00:00,6682.0
2005-05-30 02:00:00,6642.0
2005-05-31 02:00:00,6792.0
2005-06-01 02:00:00,7122.0
2005-06-02 02:00:00,7037.0
2005-06-03 02:00:00,7224.0
2005-06-04 02:00:00,7107.0
2005-06-05 02:00:00,7537.0
2005-06-06 02:00:00,8968.0
2005-06-07 02:00:00,9437.0
2005-06-08 02:00:00,9172.0
2005-06-09 02:00:00,9863.0
2005-06-10 02:00:00,9586.0
2005-06-11 02:00:00,9827.0
2005-06-12 02:00:00,9456.0
2005-06-13 02:00:00,10131.0
2005-06-14 02:00:00,10641.0
2005-06-15 02:00:00,11306.0
2005-06-16 02:00:00,9882.0
2005-06-17 02:00:00,8618.0
2005-06-18 02:00:00,7822.0
2005-06-19 02:00:00,8040.0
2005-06-20 02:00:00,8004.0
2005-06-21 02:00:00,7161.0
2005-06-22 02:00:00,8345.0
2005-06-23 02:00:00,8359.0
2005-06-24 02:00:00,8386.0
2005-06-25 02:00:00,8620.0
2005-06-26 02:00:00,8831.0
2005-06-27 02:00:00,8925.0
2005-06-28 02:00:00,9993.0
2005-06-29 02:00:00,9756.0
2005-06-30 02:00:00,8873.0
2005-07-01 02:00:00,9889.0
2005-07-02 02:00:00,10599.0
2005-07-03 02:00:00,8920.0
2005-07-04 02:00:00,8477.0
2005-07-05 02:00:00,8095.0
2005-07-06 02:00:00,9534.0
